FID	IID	Active	Reinfs	ActivesD1	ReinfsD1	ActivesD2	ReinfsD2	ActivesD3	ReinfsD3	ActiveLG	ReinfsLG	ActivesD1LG	ReinfsD1LG	ActivesD2LG	ReinfsD2LG																																																																																																													
BXD42.TyJ	110	1882	579	436	155	716	211	730	213	3.27485032	2.763427994	2.640481437	2.193124598	2.855519156	2.326335861																																																																																																													
BXD42.TyJ	111	5063	1177	1634	385	1604	376	1825	416	3.704493697	3.07114529	3.213517757	2.586587305	3.205475037	2.57634135																																																																																																													
C57L.J	112	5718	1342	1461	358	2168	500	2089	484	3.757320097	3.128076013	3.164947373	2.555094449	3.336259552	2.699837726																																																																																																													
C57L.J	113	6584	1500	2192	500	2203	500	2189	500	3.818555779	3.176380692	3.341038632	2.699837726	3.34321159	2.699837726																																																																																																													
PL.J	114	7	7	4	4	2	2	1	1	0.903089987	0.903089987	0.698970004	0.698970004	0.477121255	0.477121255																																																																																																													
PL.J	115	1600	524	409	150	680	204	511	170	3.204391332	2.720159303	2.612783857	2.178976947	2.833147112	2.311753861																																																																																																													
MRL.MpJ	116	6419	1488	2097	488	2154	500	2168	500	3.807535028	3.172894698	3.321805484	2.689308859	3.333447274	2.699837726																																																																																																													
MRL.MpJ	117	6852	1500	2218	500	2262	500	2372	500	3.835880732	3.176380692	3.346157302	2.699837726	3.354684554	2.699837726																																																																																																													
CBA.J	118	6537	1464	2029	464	2228	500	2280	500	3.815444916	3.165837625	3.307496038	2.667452953	3.348110068	2.699837726																																																																																																													
CBA.J	119	4916	1124	283	124	2275	500	2358	500	3.691700208	3.051152522	2.45331834	2.096910013	3.357172258	2.699837726																																																																																																													
AKR.J	120	1142	435	150	98	792	228	200	109	3.05804623	2.639486489	2.178976947	1.995635195	2.899273187	2.359835482																																																																																																													
AKR.J	121	320	186	6	6	78	63	236	117	2.506505032	2.271841607	0.84509804	0.84509804	1.897627091	1.806179974																																																																																																													
NZB.BlNJ	122	5877	1376	1543	376	2165	500	2169	500	3.769229582	3.13893394	3.188647296	2.57634135	3.335658452	2.699837726																																																																																																													
NZB.BlNJ	123	782	317	32	31	275	122	475	164	2.893761762	2.50242712	1.51851394	1.505149978	2.440909082	2.089905111																																																																																																													
SM.J	124	1926	548	38	38	366	140	1522	370	3.284881715	2.739572344	1.591064607	1.591064607	2.564666064	2.149219113																																																																																																													
